id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BINTANG 3,2,UNIT,2015
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BINTANG 4,0,UNIT,2015
185,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BINTANG 5,0,UNIT,2015
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 1,0,UNIT,2015
187,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 2,0,UNIT,2015
188,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 3,0,UNIT,2015
189,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 4,0,UNIT,2015
190,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 5,0,UNIT,2015
191,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 1,0,UNIT,2015
192,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 2,0,UNIT,2015
193,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 3,2,UNIT,2015
194,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 4,0,UNIT,2015
195,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 5,0,UNIT,2015
196,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 1,0,UNIT,2015
197,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 2,0,UNIT,2015
198,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 3,1,UNIT,2015
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 4,1,UNIT,2015
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 5,0,UNIT,2015
201,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 1,2,UNIT,2015
202,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 2,4,UNIT,2015
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 3,1,UNIT,2015
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 4,0,UNIT,2015
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 5,0,UNIT,2015
206,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 1,0,UNIT,2015
207,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 2,1,UNIT,2015
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 3,1,UNIT,2015
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 4,1,UNIT,2015
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 5,1,UNIT,2015
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 1,0,UNIT,2015
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 2,0,UNIT,2015
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 3,6,UNIT,2015
214,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 4,2,UNIT,2015
215,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 5,0,UNIT,2015
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BINTANG 1,0,UNIT,2015
217,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BINTANG 2,0,UNIT,2015
218,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BINTANG 3,0,UNIT,2015
219,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BINTANG 4,0,UNIT,2015
220,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BINTANG 5,0,UNIT,2015
221,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 1,1,UNIT,2015
222,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 2,1,UNIT,2015
223,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 3,4,UNIT,2015
224,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 4,1,UNIT,2015
225,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 5,0,UNIT,2015
226,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 1,0,UNIT,2015
227,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 2,1,UNIT,2015
228,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 3,1,UNIT,2015
229,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 4,0,UNIT,2015
230,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 5,0,UNIT,2015
231,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 1,9,UNIT,2015
232,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 2,16,UNIT,2015
233,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 3,29,UNIT,2015
234,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 4,20,UNIT,2015
235,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 5,6,UNIT,2015
